date_releve,marque,modele,nb_total,nb_electrique,proportion_electrique
2026-07-08T14:36:42,Skoda,Karoq,5,0,0.0
2026-07-08T14:36:42,Skoda,Kodiaq,2,0,0.0
2026-07-08T14:36:42,Skoda,OCTAVIA COMBI,0,0,0.0
2026-07-08T14:36:42,Skoda,Octavia,2,0,0.0
2026-07-08T14:36:42,Skoda,Octavia Combi,9,0,0.0
2026-07-08T14:36:42,Skoda,Scala,1,0,0.0
2026-07-08T14:36:42,Skoda,Superb Combi,2,0,0.0
2026-07-08T14:36:42,Smart,FORFOUR,2,2,1.0
2026-07-08T14:36:42,Smart,FORTWO,2,0,0.0
2026-07-08T14:36:42,Smart,Fortwo Coupé,1,1,1.0
2026-07-08T14:36:42,Smart,Fortwo EQ,3,3,1.0
2026-07-08T14:36:42,Suzuki,Ignis,1,0,0.0
2026-07-08T14:36:42,Suzuki,S-CROSS,1,0,0.0
2026-07-08T14:36:42,Suzuki,SX4 S-Cross,1,0,0.0
2026-07-08T14:36:42,Suzuki,Swift,3,0,0.0
2026-07-08T14:36:42,Tesla,MODEL 3,10,10,1.0
2026-07-08T14:36:42,Tesla,MODEL X,2,2,1.0
2026-07-08T14:36:42,Tesla,MODEL Y,11,11,1.0
2026-07-08T14:36:42,Toyota,Aygo,3,0,0.0
2026-07-08T14:36:42,Toyota,Aygo X,7,0,0.0
2026-07-08T14:36:42,Toyota,C-HR,20,0,0.0
2026-07-08T14:36:42,Toyota,Corolla,3,0,0.0
2026-07-08T14:36:42,Toyota,Corolla Cross,2,0,0.0
2026-07-08T14:36:42,Toyota,Corolla Sw,1,0,0.0
2026-07-08T14:36:42,Toyota,Corolla Touring Sports,11,0,0.0
2026-07-08T14:36:42,Toyota,Prius,1,0,0.0
2026-07-08T14:36:42,Toyota,RAV 4,5,0,0.0
2026-07-08T14:36:42,Toyota,YARIS CROSS,8,0,0.0
2026-07-08T14:36:42,Toyota,Yaris,1,0,0.0
2026-07-08T14:36:42,Toyota,Yaris 3,3,0,0.0
2026-07-08T14:36:42,Toyota,Yaris 4,17,0,0.0
2026-07-08T14:36:42,Volkswagen,Coccinelle,1,0,0.0
2026-07-08T14:36:42,Volkswagen,E-UP,1,1,1.0
2026-07-08T14:36:42,Volkswagen,Golf,3,0,0.0
2026-07-08T14:36:42,Volkswagen,Golf 7,5,1,0.2
2026-07-08T14:36:42,Volkswagen,Golf 8,25,0,0.0
2026-07-08T14:36:42,Volkswagen,Golf 8 SW,10,0,0.0
2026-07-08T14:36:42,Volkswagen,Golf Sportsvan,2,0,0.0
2026-07-08T14:36:42,Volkswagen,ID.3,1,1,1.0
2026-07-08T14:36:42,Volkswagen,ID.4,1,1,1.0
2026-07-08T14:36:42,Volkswagen,ID.5,1,1,1.0
2026-07-08T14:36:42,Volkswagen,Passat,2,0,0.0
2026-07-08T14:36:42,Volkswagen,Passat SW,1,0,0.0
2026-07-08T14:36:42,Volkswagen,Polo,14,0,0.0
2026-07-08T14:36:42,Volkswagen,T-CROSS,18,0,0.0
2026-07-08T14:36:42,Volkswagen,T-Cross,0,0,0.0
2026-07-08T14:36:42,Volkswagen,T-Roc,30,0,0.0
2026-07-08T14:36:42,Volkswagen,T-Roc Cabriolet,2,0,0.0
2026-07-08T14:36:42,Volkswagen,TAIGO,9,0,0.0
2026-07-08T14:36:42,Volkswagen,TIGUAN,0,0,0.0
2026-07-08T14:36:42,Volkswagen,Taigo,0,0,0.0
2026-07-08T14:36:42,Volkswagen,Tayron,4,0,0.0
2026-07-08T14:36:42,Volkswagen,Tiguan,20,0,0.0
2026-07-08T14:36:42,Volkswagen,Tiguan Allspace,2,0,0.0
2026-07-08T14:36:42,Volkswagen,Touran,1,0,0.0
2026-07-08T14:36:42,Volkswagen,Up,2,1,0.5
2026-07-08T14:36:42,Volvo,C40,1,1,1.0
2026-07-08T14:36:42,Volvo,EX30,2,2,1.0
2026-07-08T14:36:42,Volvo,S90,1,0,0.0
2026-07-08T14:36:42,Volvo,V40,1,0,0.0
2026-07-08T14:36:42,Volvo,V60 Cross Country,1,0,0.0
2026-07-08T14:36:42,Volvo,XC40,12,1,0.0833
2026-07-08T14:36:42,Volvo,XC60,7,0,0.0
2026-07-08T14:36:42,Volvo,XC90,1,0,0.0
2026-07-09T15:36:37,Alfa Romeo,Giulia,1,0,0.0
2026-07-09T15:36:37,Alfa Romeo,Junior,12,5,0.4167
2026-07-09T15:36:37,Alfa Romeo,Stelvio,2,0,0.0
2026-07-09T15:36:37,Alfa Romeo,Tonale,16,0,0.0
2026-07-09T15:36:37,Alpine,A290,1,1,1.0
2026-07-09T15:36:37,Audi,A1 Citycarver,1,0,0.0
2026-07-09T15:36:37,Audi,A1 Sportback,9,0,0.0
2026-07-09T15:36:37,Audi,A3 Berline,2,0,0.0
2026-07-09T15:36:37,Audi,A3 Sportback,21,0,0.0
2026-07-09T15:36:37,Audi,A4 Avant,3,0,0.0
2026-07-09T15:36:37,Audi,A5 Sportback,1,0,0.0
2026-07-09T15:36:37,Audi,A6 Avant,2,0,0.0
2026-07-09T15:36:37,Audi,E-TRON,2,2,1.0
2026-07-09T15:36:37,Audi,Q2,17,0,0.0
2026-07-09T15:36:37,Audi,Q3,3,0,0.0
2026-07-09T15:36:37,Audi,Q3 Sportback,2,0,0.0
2026-07-09T15:36:37,Audi,Q4 E-TRON,1,1,1.0
2026-07-09T15:36:37,Audi,Q5,2,0,0.0
2026-07-09T15:36:37,Audi,Q5 Sportback,1,0,0.0
2026-07-09T15:36:37,BMW,I3,1,1,1.0
2026-07-09T15:36:37,BMW,Série 1,19,0,0.0
2026-07-09T15:36:37,BMW,Série 2 Active Tourer,5,0,0.0
2026-07-09T15:36:37,BMW,Série 3,1,0,0.0
2026-07-09T15:36:37,BMW,Série 3 Touring,4,0,0.0
2026-07-09T15:36:37,BMW,Série 5 Touring,2,0,0.0
2026-07-09T15:36:37,BMW,X1,16,0,0.0
2026-07-09T15:36:37,BMW,X2,6,0,0.0
2026-07-09T15:36:37,BMW,X3,2,0,0.0
2026-07-09T15:36:37,BMW,Z4 ROADSTER,1,0,0.0
2026-07-09T15:36:37,BMW,i4,2,2,1.0
2026-07-09T15:36:37,BMW,iX1,2,2,1.0
2026-07-09T15:36:37,BYD,Atto 2,2,2,1.0
2026-07-09T15:36:37,BYD,DOLPHIN SURF,2,2,1.0
2026-07-09T15:36:37,BYD,Dolfin Surf,1,1,1.0
2026-07-09T15:36:37,BYD,Dolphin,1,1,1.0
2026-07-09T15:36:37,BYD,SEAL 6 TOURING,4,0,0.0
2026-07-09T15:36:37,BYD,Seal 6,3,0,0.0
2026-07-09T15:36:37,BYD,Seal 6 Touring,0,0,0.0
2026-07-09T15:36:37,BYD,Seal U,5,0,0.0
2026-07-09T15:36:37,Citroën,AMI,5,5,1.0
2026-07-09T15:36:37,Citroën,BERLINGO FOURGON ELECTRIC,1,1,1.0
2026-07-09T15:36:37,Citroën,Berlingo,10,4,0.4
2026-07-09T15:36:37,Citroën,Berlingo Fourgon,1,0,0.0
2026-07-09T15:36:37,Citroën,Berlingo Van,1,0,0.0
2026-07-09T15:36:37,Citroën,C-ZERO,1,1,1.0
